"n","num_positive","MajorLC","AVG_IMP","AVG_CANPY","TPOP2020","HSgradPct","FamPovPct","Pct_HUocc","ClassBest_Pct","Class_21Pct","Class_22Pct","Class_23Pct","Class_24Pct","Black_Perc","White_Perc","HispOrTwo_Perc","perc_positive"
718,23,"23",41.57,4.07,18755,90.3,6.2,95.4424273200457,63.26,2.31,31.15,63.26,1.45,7.5979738736337,72.7805918421754,26.7821914156225,3.2033426183844
533,11,"22",38.6,3.69,16625,87.1,8.6,95.8418891170431,56.15,9.14,56.15,24.68,8.06,22.2195488721805,33.5759398496241,54.6105263157895,2.06378986866792
13,3,"22",28.1,10.01,19311,96.2,3.3,95.9464829778779,39.38,33.43,39.38,26.71,0.49,9.51789135725752,80.6483351457718,15.2193050592926,23.0769230769231
446,26,"22",43.51,10.66,18513,91.2,11.7,91.7383177570093,47.21,2.89,47.21,40.82,9.08,76.9837411548641,16.4803111327176,8.08080808080808,5.82959641255605
241,19,"23",51.62,4.94,22730,85,23,89.2202069884209,80.98,0.19,12.36,80.98,5.31,95.2749670039595,0.686317641882974,4.85261768587769,7.88381742738589
154,7,"23",45.77,2.73,20047,88.9,9.5,94.8957943342069,72.96,0.99,20.48,72.96,4.87,6.66932708135881,72.7640045892153,28.9020801117374,4.54545454545455
342,11,"23",53.31,6.68,22363,91.7,12.4,91.8097472539192,57.71,1.16,24.86,57.71,16.28,80.9283190985109,13.7012028797567,6.85954478379466,3.21637426900585
272,7,"23",49.42,4.59,19795,88.7,16,88.0795384298372,81.6,1.83,12.43,81.6,4.14,95.2412225309422,0.777974235918161,4.72341500378884,2.57352941176471
84,2,"22",25.76,14.14,7363,94.5,15.4,90.8755451190875,45.46,21.33,45.46,17.95,2.7,19.4078500611164,58.4408529132147,15.0889583050387,2.38095238095238
207,33,"23",55.62,2.52,15973,83.4,12,94.5010183299389,68.5,0.1,13.78,68.5,16.86,14.4368622049709,67.5640142740875,25.5493645526827,15.9420289855072
23,2,"22",18.56,13.43,5274,97.7,0.9,96.7138523761375,27.34,9.96,27.34,15.72,0,3.88699279484262,78.6499810390595,12.514220705347,8.69565217391304
216,9,"23",68.01,2.6,35867,82.3,23.5,87.1341170825336,69.79,0,1.45,69.79,28.76,93.2723673571807,1.05668162935289,7.39677140547021,4.16666666666667
295,3,"23",65.66,1.87,35858,86.9,27.5,86.8120085775554,69.5,0,1,69.5,29.5,95.7220146131965,0.62747504043728,4.31145072229349,1.01694915254237
211,5,"23",42.14,3.61,4279,97.1,1.4,95.6969696969697,36.45,17.26,32.3,36.45,13.98,2.12666510867025,69.7359196073849,12.9002103295162,2.3696682464455
81,5,"24",86.89,0.13,9010,80.5,11.9,95.1476077366814,91.85,0,1.29,6.86,91.85,8.92341842397336,28.3795782463929,92.4306326304107,6.17283950617284
259,4,"0",11.6,1.41,23082,80.8,24.3,86.8813656577249,72.58,4.99,6.78,9.17,3.99,92.1107356381596,2.62542240707044,6.16930941859458,1.54440154440154
275,13,"23",66.58,3.44,34179,79.8,25.3,85.4117647058823,61.49,0,6.27,61.49,32.24,65.9791099798122,5.57067205008924,39.3662775388396,4.72727272727273
357,2,"23",36.62,2.37,43139,75.3,20.8,89.7597889475146,37.15,16.03,27.66,37.15,8.41,32.9887109112404,12.5594010060502,80.4909710470804,0.560224089635854
327,11,"22",31.46,17.96,10100,97.6,0.6,94.1595143395436,53.68,17.05,53.68,22.09,0,4.41584158415842,70.1881188118812,12.1881188118812,3.36391437308868
393,17,"23",46.52,1.58,14273,92.8,9.9,93.9198743126473,45.46,18.73,17.86,45.46,16.41,8.12022700203181,59.0695719190079,20.8855881734744,4.32569974554707
305,29,"23",63.68,1.61,25358,85.4,7.5,96.0915350344269,72.57,1.87,3.15,72.57,21.44,2.09007019481032,52.922154744065,70.8652101900781,9.50819672131147
373,9,"24",68.84,1.28,14206,81.7,12.8,93.9112903225806,45.16,0.4,9.77,44.67,45.16,2.73124032099113,33.584400957342,98.1205124595242,2.41286863270777
267,5,"22",47.48,9.44,12485,95.8,4.8,93.0565010211028,32.16,9.29,32.16,30.99,20.53,5.39046856227473,72.7593111734081,17.5810973167801,1.87265917602996
128,3,"23",48.33,3.41,10128,95.3,5.3,94.7767857142857,32.87,11.52,27.66,32.87,22.93,13.0331753554502,36.6804897314376,17.6244075829384,2.34375
80,5,"22",15.08,43.03,11216,96.8,1.8,95.7178841309824,39.11,23.89,39.11,4.05,0.1,1.30171184022825,87.1968616262482,11.3855206847361,6.25
395,8,"22",32.79,13.85,14011,96.1,4.8,93.2528041415013,69.95,9.37,69.95,19.32,1.35,2.74070373278139,75.968881593034,15.3236742559418,2.0253164556962
1083,24,"22",36.9,9.28,8469,97.4,2.8,95.3891432308698,73.38,2.85,73.38,20.92,1.67,0.861967174400756,88.7826189632778,11.4063053489196,2.21606648199446
1319,32,"23",59.35,3.11,14328,73.1,12.1,92.8244881733254,59.17,3.65,7.79,59.17,28.8,2.68006700167504,39.2657733109994,87.4860413176996,2.42608036391205
272,9,"22",15.08,43.03,11216,96.8,1.8,95.7178841309824,39.11,23.89,39.11,4.05,0.1,1.30171184022825,87.1968616262482,11.3855206847361,3.30882352941176
53,3,"23",54.33,5.34,13058,81.7,4.9,94.7314682458648,53.73,1.18,7.96,53.73,28.59,1.70010721396845,53.2240771940573,70.0490120998622,5.66037735849057
231,3,"23",73.01,2.11,41163,68.7,16.6,95.2770673486786,52.51,0,2.12,52.51,45.37,1.54021815708282,17.0565799382941,115.02805917936,1.2987012987013
299,11,"24",75.9,1.89,15127,77.9,25.1,81.0375146541618,64.59,0.29,12.65,22.28,64.59,60.2102201361803,14.940173200238,30.8455080319958,3.67892976588629
344,8,"22",28.6,24.28,6793,93,5.5,97.373429767796,51.72,32.29,51.72,12.56,3.24,3.1503017812454,68.9238922420138,34.2852936846754,2.32558139534884
34,3,"22",37.73,12.75,2768,94.3,3.1,94.7299934938191,42.36,16.96,42.36,30.85,6.94,2.9985549132948,62.1387283236994,7.65895953757225,8.82352941176471
104,9,"23",61.31,4.35,30214,76.5,7.7,94.6325509811466,82.16,0,2.22,82.16,15.62,3.76315615277686,31.6872972794069,96.8226649897399,8.65384615384615
71,2,"0",14.41,16.72,3732,85.1,6.1,96.0376091336467,26.91,15.46,24.85,6.36,1.76,2.81350482315113,62.2990353697749,44.6677384780279,2.8169014084507
97,3,"22",26.88,22.09,7131,95.5,1.5,96.773120425815,57.72,25.35,57.72,9.41,1.68,2.81867900715187,80.8722479315664,14.1635114289721,3.09278350515464
473,29,"23",70.71,2.21,62101,60.6,25.1,89.2787169089169,63.88,0,0.49,63.88,35.64,27.8642855992657,9.96763337144329,83.9825445644998,6.13107822410148
370,3,"23",48.85,5.7,11366,96.3,11.4,91.8583179452745,40.8,6.26,34.93,40.8,17.03,7.05613232447651,62.1062818933662,14.631356677811,0.810810810810811
39,5,"22",35.56,7.03,8345,97.3,2.7,95.3265765765766,66.8,4.73,66.8,23.45,0.1,1.71360095865788,86.8304373876573,14.6674655482325,12.8205128205128
529,16,"23",45.72,7.49,12384,94.7,3,96.6722830665543,43.55,10.32,36.31,43.55,9.13,3.40762273901809,72.6744186046512,19.3394702842377,3.02457466918715
903,25,"23",58.34,2.5,37943,89.5,6.7,93.6057412555764,66.83,0.2,10.63,66.83,20.68,16.4114592942045,48.50697098279,45.8977940595103,2.76854928017719
176,5,"22",33.13,8.63,12551,93.9,4.1,94.5385688658561,58.33,18.7,58.33,20.93,2.03,4.60521074018007,59.9872520117919,21.1138554696837,2.84090909090909
258,7,"22",27.2,15.42,12035,97,3.7,94.1377233487252,35.14,7.36,35.14,13.65,9,2.68383880348982,80.2658911508101,13.6684669713336,2.71317829457364
119,6,"23",46.88,2.38,6447,98.7,2.9,96.9829470922606,42.68,9.6,35.89,42.68,10.77,0.356755079882116,89.0181479758027,12.4398945245851,5.04201680672269
338,25,"23",47.34,3.16,32928,74.7,36.6,85.5989048596851,42.14,6.48,16.99,42.14,18.66,86.9442419825073,3.79008746355685,12.5303692905734,7.39644970414201
214,5,"0",15.15,26.82,6870,92.1,4,96.7503085150144,27.79,26.9,19.49,7.42,2.67,2.89665211062591,68.4279475982533,19.7525473071325,2.33644859813084
2017,38,"23",51.8,6.71,11021,83.2,4.7,96.1148230635981,45.63,3.27,34.33,45.63,16.77,33.1911804736412,32.4108520097995,43.5804373468832,1.88398611799703
180,7,"22",20.84,21.5,7294,91.1,5.7,97.3741794310722,21.62,13.32,21.62,15.15,5.31,3.57828352070195,65.9583219084179,22.7447216890595,3.88888888888889
33,4,"0",15.15,26.82,6870,92.1,4,96.7503085150144,27.79,26.9,19.49,7.42,2.67,2.89665211062591,68.4279475982533,19.7525473071325,12.1212121212121
240,16,"24",82.61,0.39,36159,88.7,15.4,91.5096960604545,76.95,0.77,1.25,20.54,76.95,26.8840399347327,49.6473906911142,30.2497303575873,6.66666666666667
126,2,"22",42.98,13.11,6416,92.9,4.6,97.1053647240448,47.49,8.57,47.49,33.5,8.08,0.826059850374065,82.3098503740648,22.2100997506234,1.58730158730159
33,13,"22",42.42,4.93,15023,97.1,1.9,94.000346800763,56.51,3.25,56.51,30.47,8.68,2.42960793450043,82.2738467682886,16.3482659921454,39.3939393939394
104,2,"24",77.78,1.26,43859,95.4,4.2,92.5568601691436,72.73,0.48,1.64,24.37,72.73,7.98695820698146,67.1925944503979,26.7242755192777,1.92307692307692
136,7,"22",35.17,15.82,7487,91.1,6.9,96.8959435626102,43.65,17.26,43.65,24.05,7.47,3.33912114331508,67.0228395886203,23.6944036329638,5.14705882352941
180,7,"23",43.64,7.66,16190,83.9,10.6,95.183519512549,43.74,9.49,37.08,43.74,6.85,10.284126003706,44.1012970969734,38.2396541074737,3.88888888888889
47,4,"23",45.46,5.9,9883,94.9,2,95.7916287534122,34.16,9.38,31.98,34.16,16.19,1.0624304361024,85.0551451988263,18.243448345644,8.51063829787234
83,3,"23",65.85,3.29,45595,77,19.1,91.4319738017267,74.23,0,3.09,74.23,22.68,52.242570457287,7.63460905801075,54.8854041013269,3.6144578313253
245,18,"23",75.97,2.05,51680,64.9,20.5,91.4352840666382,52.9,0,0.87,52.9,46.24,16.2093653250774,17.1362229102167,92.3568111455108,7.3469387755102
234,6,"21",26.81,15.37,16126,89,8.3,95.5754814052624,31.08,31.08,22.01,24.13,3.57,3.71449832568523,66.2780602753318,44.4561577576584,2.56410256410256
458,19,"23",55.52,4.4,32370,82.9,5.8,94.8417443992665,59.03,1.26,22.23,59.03,16.7,11.7423540315107,41.9122644423849,64.7204201421069,4.14847161572052
218,2,"0",20.71,3.06,40978,93.8,3,90.6849315068493,33.79,2.06,6.19,26.23,7.96,3.67026209185417,80.9727170676949,12.3627312216311,0.91743119266055
291,25,"23",71.24,3.43,37867,73.3,11,94.419784400761,47.44,1.25,3.09,47.44,47.06,20.6406633744421,18.4619853698471,83.0802545752238,8.59106529209622
25,3,"23",51.61,7.4,10800,88.8,10.1,96.0018488560203,62.04,2.02,13.87,62.04,13.78,3.05555555555556,59.4814814814815,53.8425925925926,12
257,7,"22",31.25,10.02,5234,97.3,1.2,96.5578900312919,67.02,14.18,67.02,17.16,0,0.554069545280856,88.1352693924341,10.6801681314482,2.72373540856031
59,7,"23",45.74,4.28,17915,75,14.1,96.4384904427381,50.69,5.25,38.91,50.69,5.15,2.90817750488418,40.1451297795144,77.9402735138152,11.864406779661
297,30,"23",71.44,2.41,52566,89.8,8.6,92.3722855803781,59.46,0,2.1,59.46,38.44,4.6227599589088,56.6601986074649,50.6410988091162,10.1010101010101
205,3,"22",35.11,4.15,9584,94.1,2.5,98.3471074380165,60.63,10.29,60.63,25.22,0.69,3.1406510851419,66.8405676126878,21.6715358931553,1.46341463414634
36,2,"23",42.79,7.99,11365,87.9,8.6,95.4844366505918,42.86,12.74,41.22,42.86,3.19,6.54641443026837,54.1487021557413,33.3743950725913,5.55555555555556
99,3,"21",22.31,20.22,6733,76.5,16.9,96.3111111111111,41.89,41.89,31.08,10.23,2.32,2.52487746918164,42.8783603148671,72.8649933165008,3.03030303030303
100,11,"23",59.22,1.36,4552,94.7,2.9,96.7272727272727,48.43,1.57,15.46,48.43,30.04,6.2390158172232,60.6107205623902,23.0887521968366,11
148,9,"23",62.74,5.39,39210,83.8,7.4,95.548048048048,86,0,2.41,86,11.58,3.1038000510074,45.3175210405509,69.3496557000765,6.08108108108108
396,16,"23",60.72,2.54,22697,90,7.9,96.2400177462289,72.82,1.69,5.85,72.82,19.54,1.8416530819051,68.7844208485703,42.0760452923294,4.04040404040404
78,6,"21",31.96,5.32,10911,82.7,5.4,96.8547418967587,33.4,33.4,31.54,29.09,3.43,2.60287782971313,62.4873980386766,46.1919164146274,7.69230769230769
38,2,"21",23.47,6.3,9633,82.6,8,96.2632006498781,53.18,53.18,20.62,16.28,2.12,1.99314855185301,61.6837952870342,48.7594726461123,5.26315789473684
59,2,"23",64.95,4.1,37565,88.4,5.2,94.4714416508205,81.21,0.29,2.31,81.21,16.18,2.28404099560761,54.2153600425928,56.9625981631838,3.38983050847458
174,2,"23",61.51,3.59,42023,83,7.9,92.9297274046992,59.34,0,11.19,59.34,29.38,4.29764652690193,48.2069342978845,58.4893986626371,1.14942528735632
195,9,"22",17.72,34.26,7136,91.5,3.2,95.222816399287,37.54,12.8,37.54,11.83,0.29,1.68161434977578,69.7029147982063,34.7673766816144,4.61538461538462
31,3,"21",31.96,5.32,10911,82.7,5.4,96.8547418967587,33.4,33.4,31.54,29.09,3.43,2.60287782971313,62.4873980386766,46.1919164146274,9.67741935483871
564,81,"23",61.22,2.5,23986,87.7,6.4,95.9202175883953,67.54,3.97,8.91,67.54,19.57,1.66763945634954,70.9413824731093,30.9263737180022,14.3617021276596
23,3,"24",56.95,1.99,8755,76.9,8,95.3099376844867,38.51,2.69,23.18,35.12,38.51,2.6499143346659,48.4865790976585,68.4066247858367,13.0434782608696
78,7,"23",62.33,2.82,38788,87.6,8,93.0051656031601,70.44,0.99,3.74,70.44,22.27,2.57553882644117,57.5796638135506,50.067031040528,8.97435897435897
83,3,"22",35.36,11.55,7239,92,5.5,95.5722070844687,38.58,10.43,38.58,25.79,9.94,1.6991297140489,82.8429341069208,15.4441221163144,3.6144578313253
10,3,"22",17.08,12.32,5458,92.6,3.5,96.5875370919881,21.75,13.11,21.75,12.12,2.38,1.13594723341883,79.1681934774643,19.5859289116893,30
243,10,"22",30.39,19.91,6553,95,2.7,96.2164361269325,40.64,24.23,40.64,16.12,7.72,1.58705936212422,79.1240653135968,20.8606745002289,4.11522633744856
166,4,"22",23.8,27.59,7462,95.2,2.7,97.3806960889846,42.61,21.11,42.61,15.27,0.88,0.951487536853391,83.9319217367998,17.5824175824176,2.40963855421687
76,5,"23",48.94,4.63,29192,89.8,7.1,95.1421497481431,68.73,12.84,12.36,68.73,6.08,1.40106878596876,68.2789805426144,34.738969580707,6.57894736842105
110,15,"23",51.8,1.59,30175,88.3,5.3,95.1511478142284,69.95,0,23.35,69.95,6.7,1.74979287489644,77.3951946975973,17.0107705053853,13.6363636363636
101,2,"22",17.2,31.72,8373,94.7,3.3,97.8602474088933,23.74,16.57,23.74,8.91,4.75,1.6839842350412,74.1311357936224,20.7930252000478,1.98019801980198
334,3,"23",55.62,3.32,54633,79.8,18,93.4662767844303,44.94,9.84,22.18,44.94,23.05,13.0580418428422,34.6182710083649,31.0618124576721,0.898203592814371
137,7,"90",13.34,34.51,10160,94.9,3.9,93.5053179452365,30.75,15.18,22.82,7.93,2.32,2.08661417322835,70.492125984252,17.8838582677165,5.10948905109489
210,5,"23",43.26,5.72,14126,92.1,4,96.2975838692856,47.2,0.58,46.62,47.2,5.6,1.63528245787909,64.6963046863939,19.1703242248336,2.38095238095238
181,15,"22",25.93,23.32,13088,93.9,3.4,96.7153284671533,47.68,14.44,47.68,15.03,2.57,0.909229828850856,75.9856356968215,20.606662591687,8.28729281767956
610,3,"22",39.46,7.05,13460,82,9,96.1221122112211,46.28,16.98,46.28,25.12,8.54,6.03268945022288,45.0965824665676,55.3937592867756,0.491803278688525
66,10,"23",38.93,4.08,19133,93.4,8.2,94.5739961324081,45.46,14.86,36.09,45.46,3.59,0.872837505879893,83.3533685255841,19.6414571682433,15.1515151515152
562,30,"22",45.27,4.18,10672,92.4,2.7,97.8071268377772,51.54,4.44,51.54,35.14,7.92,2.58620689655172,67.9066716641679,15.5640929535232,5.33807829181495
39,3,"23",55.62,6.35,68607,84.4,15.7,93.901507921359,63.42,0,21.24,63.42,15.15,26.8544026119784,36.6668124243882,35.5080385383416,7.69230769230769
438,17,"22",51.61,7.34,6978,94.4,3.5,96.3017209813255,37.74,2.99,37.74,34.75,22.97,1.23244482659788,79.3207222699914,19.6044711951849,3.88127853881279
167,5,"0",35.03,1.58,46789,82.3,16,92.3259197672002,39.15,0.89,3.85,24.75,19.82,21.1032507640685,48.6396375216397,30.8534057150185,2.9940119760479
392,61,"23",48.55,5.72,19855,94,4.5,94.8814275651561,60.71,3.05,27.41,60.71,8.45,0.715185091916394,84.2306723747167,16.6305716444221,15.5612244897959
207,15,"22",35.02,8.03,14682,96.1,2.1,96.37892569075,50.92,11.76,50.92,31.73,2.22,0.558507015392998,86.9908731780411,14.5892930118512,7.2463768115942
146,4,"23",53.18,5.2,45639,86.5,12.3,94.076803930994,49.23,0.77,29.01,49.23,20.99,25.9975021363308,41.7406165779268,32.0427704375644,2.73972602739726
879,44,"23",49.89,7.64,11961,90.7,6.7,95.0260642919201,46.73,8.5,19.26,46.73,19.65,1.00326059694006,73.1460580219045,18.07541175487,5.00568828213879
75,15,"23",62.48,1.56,12140,70.9,13.9,91.41065830721,37.62,5.61,20.41,37.62,36.36,3.16309719934102,37.2322899505766,70.3212520593081,20
1071,52,"23",54.94,3.73,22121,88.4,11.3,95.6981580510992,64.36,0.78,20.41,64.36,14.26,6.0395099679038,52.2354323945572,18.2812711902717,4.85527544351074
80,3,"23",53.68,5.41,14637,89.5,11.1,96.3808854532677,61.42,0.1,23.15,61.42,14.54,5.30846484935438,52.6747284279566,18.1594589055134,3.75
221,7,"23",58.57,3.33,15675,87.7,4.9,96.815408085431,49.7,1.48,15.71,49.7,33.1,11.0239234449761,46.341307814992,21.4673046251994,3.16742081447964
465,19,"24",59.01,2.87,7630,83.5,4.9,95.5825864276568,42.28,3.96,20.66,30.98,42.28,3.30275229357798,50.3014416775885,43.3813892529489,4.08602150537634
478,9,"23",52.53,5.32,23132,88.5,9.5,95.5959684487292,57.24,0.48,27.61,57.24,14.48,7.33615770361404,47.4753588103061,17.9059311775895,1.88284518828452
948,34,"90",26.61,22.2,12398,89.9,5.1,97.3815461346633,27.93,6.91,11.11,23.12,10.41,2.24229714470076,57.9851588965962,14.1393773189224,3.58649789029536
104,14,"21",30.19,5.02,26315,89.6,6.5,95.7100742096168,40.04,40.04,22.52,33.13,1.9,9.43568307049211,49.2912787383622,17.9745392361771,13.4615384615385
357,42,"22",43.15,8.54,18473,88.1,6.4,96.2523719165085,48.37,0,48.37,44.21,7.42,15.2222162074379,51.8324040491528,20.3215503708115,11.7647058823529
582,13,"22",35.3,7.48,15722,91.5,4.6,96.1021728313153,71.06,4.04,71.06,22.54,0.59,1.9463172624348,72.4144510876479,16.1747869227834,2.23367697594502
600,17,"22",25.7,5.36,5676,92.3,1.2,97.8588807785888,31.43,23.45,31.43,27.88,3.84,5.77871740662438,46.1768851303735,18.5517970401691,2.83333333333333
1083,137,"22",30.47,17.25,21027,94.6,5.3,92.6823238566131,71.98,11.21,71.98,13.72,2.13,13.8678841489513,68.1266942502497,19.0184049079755,12.6500461680517
541,7,"22",50.53,3.43,18473,89.3,4.8,94.4657244749703,41.77,3.05,41.77,31.33,23.84,3.3291831321388,52.5577870405457,15.4387484436746,1.29390018484288
1233,37,"22",48.87,8.79,11925,95.9,2.3,94.0581542351454,43.34,4.34,43.34,33.11,19.21,0.779874213836478,82.8846960167715,11.4800838574423,3.00081103000811
612,3,"22",39.53,10.79,9310,90.6,2.2,96.8790637191157,61.31,4.68,61.31,26.9,7.12,1.23523093447905,72.7067669172932,23.8345864661654,0.490196078431373
485,27,"22",51.46,5.48,17172,96.4,1.1,94.2849476790985,42.91,4.53,42.91,23.43,28.06,1.85185185185185,82.7684602841835,13.6850687165153,5.56701030927835
793,43,"22",37.83,13.1,11198,98.3,1.2,93.940990516333,68.23,3.9,68.23,20.76,6.73,0.491159135559921,88.1318092516521,9.89462404000714,5.42244640605296
1105,34,"90",14.25,28.14,4958,99.2,7.2,93.6626746506986,42.79,10.11,24.63,8.93,2.16,0.262202501008471,83.8644614764018,11.6780960064542,3.07692307692308
621,10,"22",33.76,13.03,11780,96.2,3.2,93.7708333333333,67.57,10.62,67.57,17.37,4.15,1.34974533106961,72.0543293718166,14.3972835314092,1.61030595813204
480,15,"22",34.53,11.34,10763,97.9,3.9,91.5857605177994,72,6.55,72,19.96,1.09,0.650376289138716,76.4006317941095,7.70231348137136,3.125
223,9,"24",67.04,0.18,8607,84.6,5.2,93.1932996543473,48.02,3.86,13.4,34.72,48.02,2.64900662251656,52.410828395492,39.9674683397235,4.03587443946188
301,18,"23",48.84,4.65,10706,80.1,9.5,92.7222575854021,43.14,3.48,29.03,43.14,18.59,3.23183261722399,46.5346534653465,54.2406127405193,5.98006644518272
152,7,"22",33.13,10.79,13442,95.2,3.3,96.3035365203483,54.19,21.66,54.19,20.56,3.59,1.41348013688439,70.979020979021,17.7726528790359,4.60526315789474
105,2,"0",3.33,47.24,677,96.4,2.4,75.1196172248804,55.6,4.66,6.94,3.67,0,2.65878877400295,77.6957163958641,15.2141802067947,1.9047619047619
10,2,"23",46.88,1.04,5346,85.2,6.6,78.7598334104581,39.79,22.64,19.36,39.79,18.21,24.4855967078189,32.5289936401048,50.2992891881781,20
309,7,"22",39.9,11.47,8267,94,6.8,93.8209752839011,69.11,4.25,69.11,21.33,5.12,84.7344865126406,7.52389016571912,9.41091085036894,2.26537216828479
323,15,"22",14.38,30.62,6483,87.5,8.3,96.109240553685,29.44,10.31,29.44,6.34,0.1,8.93105043961129,63.1343513805337,34.7215795156563,4.64396284829721
347,6,"23",42.9,5.98,7954,83.2,11.8,91.0069664344522,60.37,4.89,12.13,60.37,6.65,7.30450088006035,42.532059341212,79.0545637415137,1.72910662824208
144,3,"23",48.77,1.17,6884,80,3.2,97.7777777777778,44.46,3.95,30.18,44.46,17.07,8.29459616502034,54.8373038930854,52.0482277745497,2.08333333333333
26,10,"22",39.12,7.1,7286,91.4,4.7,95.3655352480418,43.82,4.44,43.82,41.7,7.53,6.86247598133407,80.1399945100192,18.5561350535273,38.4615384615385
410,3,"90",11.65,17.92,4295,81.1,12.9,96.313672922252,20.79,1.18,5.52,9.95,2.96,3.49243306169965,32.3399301513388,100.046565774156,0.731707317073171
381,13,"23",56.9,1.84,17305,95.4,4.4,95.6528279181709,57.82,4.44,10.04,57.82,27.7,28.9453915053453,54.4235770008668,23.9699508812482,3.41207349081365
256,11,"22",45.12,6.4,10442,87.7,9.4,96.969696969697,46.24,2.51,46.24,43.53,7.53,5.93755985443402,77.3127753303965,23.6065887760965,4.296875
57,2,"22",42.75,10,19407,92.7,9.6,92.5907872288569,58.49,1.77,58.49,29.44,10.11,63.8944710671407,28.7628175400629,9.88303189570773,3.50877192982456
1657,32,"22",23.27,15.97,3488,95.7,0.3,95.9432048681542,46.24,8.2,46.24,19.4,2.61,0.716743119266055,84.8050458715596,17.6032110091743,1.93120096560048
62,2,"22",29.71,21.78,10415,98.7,3.1,94.7727947727948,65.28,16.92,65.28,13.15,2.22,2.14114258281325,81.1809889582333,14.4599135861738,3.2258064516129
85,3,"22",30.99,11.77,9370,98.4,1.6,93.2632880098888,74.66,9.84,74.66,12.87,2.63,1.04589114194237,83.2337246531483,11.7716115261473,3.52941176470588
18,2,"23",42.3,10.23,21057,78.8,5.1,95.0334011036886,53.52,4,12.5,53.52,5.47,2.88265184974118,32.5782400151968,96.1200550885691,11.1111111111111
160,8,"23",61.31,4.35,30214,76.5,7.7,94.6325509811466,82.16,0,2.22,82.16,15.62,3.76315615277686,31.6872972794069,96.8226649897399,5
286,10,"23",50.09,5.73,24396,85.2,9.5,94.5521601685985,67.76,4.73,15.06,67.76,9.07,6.22643056238728,47.7660272175766,68.6014100672241,3.4965034965035
190,5,"23",51.88,9.3,2437,96.7,2.4,93.4891485809683,32.14,7.53,17.18,32.14,31.95,3.40582683627411,73.081657775954,11.1612638489947,2.63157894736842
189,18,"22",42.65,8.21,18514,94.4,5.8,91.3447432762836,50.1,3.76,50.1,34.49,11.66,25.985740520687,54.9530085340823,19.5797774657016,9.52380952380952
116,13,"22",41.72,10.21,11437,93.9,3.3,96.3584288052373,57.86,8.35,57.86,26.72,7.07,1.70499256798111,81.8308997114628,20.8009093293696,11.2068965517241
208,6,"23",48.29,0.93,7428,89.6,4.1,93.041825095057,41.3,9.54,25.66,41.3,17.7,6.36779752288638,68.3360258481422,20.0592353257943,2.88461538461538
53,9,"24",73.2,1.37,15775,66.7,11.4,94.8205625606208,55.08,0.2,11.52,33.2,55.08,13.9080824088748,20.2916006339144,91.4167987321712,16.9811320754717
324,12,"24",72.3,1.31,7863,92.4,5.2,95.778175313059,52.23,0.78,9.9,37.09,52.23,2.09843571156047,71.1306117258044,25.0158972402391,3.7037037037037
118,2,"23",66.78,2.91,62887,95,2.9,91.3183279742765,52.32,0.39,4.15,52.32,37.84,7.0412008841255,77.5279469524703,12.7291809117942,1.69491525423729
